GENERO;RENTA;EDAD;TOTAL_DEUDA;M_MOROSO;MONTO;FUGA
M;253211;47;545873;1;1600000;NO FUGA
M;293976;47;369620;1;2400000;FUGA
F;680280;33;181280;1;3700000;NO FUGA
F;18445;50;0;0;2000000;NO FUGA
M;79958;48;504567;2;5000000;FUGA
F;303602;54;950;0;2000000;NO FUGA
F;3346030;41;877757;0;8000000;NO FUGA
F;866585;28;2079674;1;2400000;NO FUGA
M;5128367;38;3039;1;5100000;FUGA
M;459852;50;242052;1;2600000;FUGA
M;1587801;40;4214048;1;8000000;NO FUGA
F;251533;52;41;1;2400000;FUGA
M;31175;51;6834441;3;8000000;FUGA
F;431061;42;3255;1;2100000;NO FUGA
M;388941;46;384473;2;600000;FUGA
F;1261694;51;190503;2;8000000;NO FUGA
M;1353052;47;918040;3;7800000;FUGA
M;2128270;43;305942;1;1900000;FUGA
M;935002;45;327688;2;5700000;FUGA
M;64041;39;54386;1;2800000;NO FUGA
F;1622840;53;80176;3;8000000;NO FUGA
M;173377;51;508189;1;2500000;FUGA
M;34046;45;1284994;1;2900000;FUGA
F;226692;36;1379076;1;5300000;NO FUGA
M;648622;32;3662036;2;5200000;FUGA
F;5589740;31;214855;1;1600000;NO FUGA
F;7944;43;465304;0;5700000;NO FUGA
M;983523;42;23294;1;5400000;FUGA
M;3904464;43;3043554;2;2100000;FUGA
F;406726;36;21809;1;4500000;NO FUGA
F;1428396;50;427954;0;8000000;NO FUGA
F;918608;52;875049;3;5700000;NO FUGA
M;24525;40;1332404;2;4500000;FUGA
M;3740965;41;153802;1;3200000;FUGA
M;60099;33;612085;1;2200000;NO FUGA
M;227774;39;7547;1;2800000;NO FUGA
F;491101;32;370917;0;2000000;NO FUGA
M;524328;51;965727;2;800000;FUGA
F;1635026;50;704694;2;8000000;NO FUGA
F;33356;45;249076;3;800000;NO FUGA
F;197013;48;537353;1;8000000;NO FUGA
M;27839;45;412995;1;4200000;FUGA
M;315400;26;392031;1;2100000;FUGA
M;159708;35;296655;1;2800000;NO FUGA
M;40161;44;573403;1;1800000;FUGA
M;2583894;42;255682;1;8000000;NO FUGA
F;233664;55;489720;1;6000000;NO FUGA
M;4066071;43;255778;1;5200000;FUGA
F;20412;40;101527;1;7200000;NO FUGA
M;38938;27;495716;1;2700000;NO FUGA
F;15785;56;592685;0;1300000;NO FUGA
M;206412;43;195726;1;2100000;FUGA
M;18413;40;429114;1;5300000;FUGA
M;308199;31;289100;1;1800000;NO FUGA
M;438997;41;336510;1;1600000;FUGA
M;157575;24;301172;1;1200000;FUGA
M;154337;52;670;2;700000;FUGA
M;74503;47;77183;1;1900000;FUGA
M;1077191;38;541545;3;6000000;NO FUGA
F;96085;55;524696;1;3000000;FUGA
M;576483;50;7560273;1;2800000;FUGA
M;154888;40;684759;1;2400000;FUGA
F;46710;53;819831;3;3400000;NO FUGA
M;20246;40;115354;3;1400000;FUGA
M;4738;40;460226;3;1400000;FUGA
F;23677;28;172716;1;2200000;FUGA
M;530340;55;595374;3;3400000;FUGA
F;628863;47;502889;1;4900000;NO FUGA
M;403299;31;139968;1;1900000;NO FUGA
F;2170711;35;1316369;0;4900000;NO FUGA
F;113187;33;286102;1;1300000;NO FUGA
M;20785;43;385005;1;3900000;FUGA
F;187442;30;678225;1;1800000;NO FUGA
F;297920;37;6483;2;4600000;NO FUGA
F;20932;50;1607;1;2600000;NO FUGA
F;391269;50;262841;1;1200000;FUGA
M;241012;41;807568;2;8000000;FUGA
F;89997;62;401995;1;500000;NO FUGA
M;65113;45;438721;2;2200000;FUGA
M;1162225;57;2454338;1;3100000;NO FUGA
M;5459808;43;37160;1;2700000;FUGA
M;23386;53;134642;2;2100000;FUGA
M;397389;46;505704;1;4100000;FUGA
F;1229326;45;1991833;1;4800000;FUGA
M;7890;53;863552;1;1500000;FUGA
F;181173;41;1513293;2;4900000;FUGA
F;7735853;29;167291;1;1700000;NO FUGA
F;895983;39;1002370;1;1300000;NO FUGA
M;215221;50;500678;2;8000000;NO FUGA
M;10625;47;139323;1;2500000;FUGA
M;877113;60;356054;1;8000000;NO FUGA
F;368864;40;837554;1;1200000;NO FUGA
M;1389117;41;3055240;3;7700000;NO FUGA
F;832187;52;421594;3;2100000;FUGA
F;546567;41;416626;2;3200000;FUGA
M;244946;47;862008;2;1700000;FUGA
M;222642;50;22256;2;1400000;FUGA
M;601520;32;271099;2;2200000;NO FUGA
M;124930;45;482005;1;1400000;FUGA
M;194923;44;929938;1;3100000;NO FUGA
M;580919;48;110198;1;3800000;FUGA
F;4009723;27;518137;0;1500000;NO FUGA
F;5594457;34;32704;1;1400000;NO FUGA
M;2538793;44;226516;1;1700000;FUGA
F;2959918;36;1090115;1;2200000;NO FUGA
F;1212051;29;4793105;1;2600000;NO FUGA
M;1612088;47;488587;1;8000000;NO FUGA
F;4691779;39;25723;0;2000000;NO FUGA
M;5491203;40;932404;1;4200000;FUGA
M;195391;47;3951;2;2300000;FUGA
M;965059;45;57944;1;5900000;FUGA
F;22201;48;992612;1;2800000;NO FUGA
M;2109951;42;17135;3;750000;FUGA
F;49636;54;19674;1;550000;NO FUGA
M;6657589;40;49853;2;2200000;FUGA
M;703069;44;737343;2;900000;NO FUGA
M;1977;54;4437;0;8000000;NO FUGA
M;492778;44;399945;1;1000000;NO FUGA
F;2153348;52;1529836;3;8000000;FUGA
M;733473;53;3802368;2;6900000;NO FUGA
F;340199;63;401543;1;8000000;NO FUGA
F;550482;41;685746;1;1600000;NO FUGA
M;920627;32;695460;1;6200000;NO FUGA
M;706808;53;280009;1;3700000;FUGA
M;252443;28;262234;1;4200000;NO FUGA
M;470685;28;621988;1;3100000;NO FUGA
M;643180;37;118733;1;5900000;NO FUGA
F;63129;36;28372;0;2400000;NO FUGA
M;437236;49;134158;1;1600000;FUGA
F;14631;29;20578;1;1800000;NO FUGA
M;108777;52;321988;1;2100000;FUGA
M;42792;52;252881;1;2200000;FUGA
M;475311;39;798291;2;8000000;NO FUGA
M;185630;52;64417;3;1200000;FUGA
M;3080971;43;359671;2;1900000;FUGA
M;852617;49;870536;1;3700000;FUGA
F;46248;59;1319378;0;8000000;NO FUGA
M;42506;50;281132;1;1700000;FUGA
M;415002;43;328525;1;1500000;FUGA
F;421381;56;478934;1;3200000;NO FUGA
M;210315;62;280715;0;1500000;NO FUGA
F;70598;38;784;1;800000;NO FUGA
M;457943;45;104189;1;3800000;FUGA
M;1818690;42;254698;1;8000000;FUGA
M;419379;35;521419;1;1400000;NO FUGA
M;536425;52;97270;1;2600000;FUGA
F;194673;41;508489;1;8000000;NO FUGA
F;15734;41;628216;0;5400000;NO FUGA
M;3393012;44;2485472;3;5500000;NO FUGA
M;16819;48;75686;2;2500000;FUGA
F;3258;52;398663;1;1400000;FUGA
M;1387398;44;3021806;2;2900000;FUGA
F;36501;39;564257;0;1500000;NO FUGA
M;144176;42;356718;2;3600000;FUGA
F;588947;53;617510;1;4400000;NO FUGA
M;445178;33;65860;1;1600000;NO FUGA
M;145929;41;3542;1;4300000;NO FUGA
F;197768;24;128387;1;2000000;NO FUGA
F;1179544;43;457149;0;5600000;NO FUGA
M;5391701;43;181727;1;1700000;FUGA
M;269317;47;1650;3;1600000;FUGA
M;1037779;54;474059;2;4400000;FUGA
F;5160;57;96561;1;3300000;NO FUGA
M;437245;50;353969;1;1200000;FUGA
M;604117;46;178263;2;3000000;FUGA
M;2903351;47;1600417;1;8000000;FUGA
M;651786;43;630668;3;1100000;NO FUGA
M;106223;45;10980;1;1200000;FUGA
M;4746878;42;59489;3;1200000;FUGA
M;731455;41;1007387;1;8000000;NO FUGA
F;163577;51;613527;2;500000;NO FUGA
F;467780;61;158810;1;8000000;NO FUGA
F;32366;39;294;1;8000000;NO FUGA
M;385038;47;250824;1;2500000;FUGA
F;73115;40;818335;1;1200000;NO FUGA
F;241160;53;77246;1;1600000;NO FUGA
F;499104;49;5409219;1;8000000;NO FUGA
F;613146;50;217067;1;1900000;NO FUGA
M;128440;33;172078;1;1600000;NO FUGA
M;2441608;42;723818;0;8000000;NO FUGA
M;1016790;45;533700;2;3600000;FUGA
M;333592;29;1360877;1;2600000;FUGA
M;1150336;50;984224;1;8000000;FUGA
M;616782;55;1140381;1;500000;FUGA
M;352567;33;1232355;1;2200000;NO FUGA
M;46305;50;125294;1;7000000;FUGA
M;568939;55;319743;1;2100000;NO FUGA
M;32165;40;214042;2;6300000;FUGA
M;515859;46;161575;2;3000000;FUGA
F;35640;53;855173;1;8000000;NO FUGA
M;174475;40;52283;1;2100000;NO FUGA
M;515082;44;75346;1;1800000;NO FUGA
M;264080;44;1698172;1;4700000;NO FUGA
M;7385;50;1320800;1;2100000;FUGA
F;189240;30;5845;1;2500000;NO FUGA
F;342751;36;807082;1;1500000;NO FUGA
M;217599;40;307383;1;3500000;NO FUGA
M;469171;45;288451;2;3400000;FUGA
F;114750;54;578615;0;8000000;NO FUGA
M;1206011;48;1148613;1;7500000;FUGA
M;364274;28;174660;1;1700000;FUGA
F;250440;51;244045;1;1900000;NO FUGA
F;2014551;59;1967911;1;8000000;NO FUGA
F;45005;41;106321;0;3500000;NO FUGA
F;425557;48;23260;0;2000000;NO FUGA
F;74327;42;699113;1;1500000;NO FUGA
M;417482;41;3582;1;2000000;FUGA
F;370218;50;405128;2;1000000;FUGA
M;262979;53;66606;1;1900000;FUGA
M;312016;37;51741;1;2500000;NO FUGA
F;621931;55;1038567;1;5300000;NO FUGA
F;263823;29;36495;1;1700000;NO FUGA
F;47665;50;116259;1;1600000;NO FUGA
M;3718826;43;158625;1;8000000;FUGA
M;22526;55;155080;2;6600000;FUGA
F;3585;48;422741;1;5400000;NO FUGA
M;769781;39;1690221;1;1700000;NO FUGA
M;345301;45;676636;1;4000000;FUGA
M;1993460;32;760502;0;8000000;NO FUGA
F;23305;36;174430;1;3300000;NO FUGA
M;1487137;36;958795;0;8000000;NO FUGA
M;478475;44;178391;1;1800000;FUGA
M;945555;24;1632575;1;4200000;FUGA
M;2887008;43;822845;1;900000;FUGA
M;411755;45;549082;3;1200000;FUGA
F;1640591;32;161624;0;3800000;NO FUGA
F;1077214;53;663238;1;4400000;NO FUGA
F;369710;41;97414;2;1300000;FUGA
M;379914;43;59693;1;8000000;NO FUGA
M;298733;33;125889;1;3700000;NO FUGA
M;578214;28;410969;1;1800000;FUGA
M;11514;40;33609;1;2300000;FUGA
M;81900;50;318824;1;5200000;FUGA
M;438601;45;258225;2;1000000;FUGA
F;399749;30;284617;2;900000;FUGA
F;62485;46;1596869;1;1100000;NO FUGA
M;48297;45;1043504;1;8000000;FUGA
M;106316;33;897217;1;4500000;FUGA
M;721226;53;222007;2;3000000;FUGA
M;19148;45;277551;1;3500000;FUGA
M;28515;28;156684;1;1700000;FUGA
F;34513;46;48790;1;2000000;FUGA
M;288872;41;316956;1;1700000;NO FUGA
F;122983;47;357650;1;1600000;NO FUGA
M;2218873;46;1821897;0;8000000;NO FUGA
M;133797;30;33220;2;900000;NO FUGA
F;583304;32;204173;0;4000000;NO FUGA
M;239149;27;1009;2;1300000;NO FUGA
M;29673;42;59033;1;8000000;FUGA
F;32381;43;2967409;1;8000000;NO FUGA
M;92199;51;366807;2;2200000;FUGA
F;1812290;32;356084;1;3200000;NO FUGA
M;228884;46;1681341;1;2100000;FUGA
M;71723;47;344008;1;6100000;FUGA
F;4318257;39;335578;1;4100000;NO FUGA
F;279116;50;2021996;1;700000;FUGA
F;1710702;46;4224538;0;8000000;NO FUGA
F;479055;52;436515;1;2100000;FUGA
F;138348;51;122938;1;1100000;FUGA
M;313155;28;123;1;2200000;FUGA
F;581941;36;116544;0;5800000;NO FUGA
M;3976014;115;148;1;1800000;FUGA
M;321097;48;148264;1;3500000;FUGA
F;385361;36;53739;0;1600000;NO FUGA
M;4274214;40;135863;2;3000000;FUGA
M;253722;47;1460910;3;5100000;FUGA
F;760472;42;2115415;2;5600000;FUGA
M;48599;50;142242;1;1500000;FUGA
F;6232466;37;418006;1;600000;NO FUGA
M;349114;49;862562;1;4600000;FUGA
F;352445;33;1212;2;2400000;NO FUGA
M;81139;37;209772;1;1100000;NO FUGA
F;198171;38;141125;1;8000000;NO FUGA
F;871;26;68273;0;1700000;NO FUGA
M;2801104;49;1109023;1;8000000;FUGA
M;530544;28;442045;1;2700000;FUGA
F;216672;44;1292990;3;8000000;NO FUGA
F;2190953;53;2196219;1;8000000;NO FUGA
M;591027;47;290024;1;5500000;FUGA
M;32300;51;362189;1;3500000;FUGA
F;114591;43;213;1;1900000;NO FUGA
M;673932;34;689463;1;8000000;NO FUGA
M;577982;41;62175;1;2400000;NO FUGA
F;91081;63;275884;1;1100000;NO FUGA
M;953599;37;870687;1;5300000;NO FUGA
F;417221;49;341151;0;1400000;NO FUGA
F;740089;31;97350;1;4400000;FUGA
M;1633940;42;481165;1;8000000;FUGA
F;7102;44;335924;0;4200000;NO FUGA
F;4546648;32;277;1;1800000;NO FUGA
F;351631;51;15589;2;1700000;NO FUGA
M;171079;38;74566;0;4000000;NO FUGA
M;454358;38;375996;0;1500000;NO FUGA
M;311217;34;674214;3;1300000;NO FUGA
M;68297;35;68235;1;2300000;NO FUGA
F;97609;49;221555;1;1900000;FUGA
M;103820;50;124856;1;3700000;NO FUGA
F;24558;47;229900;1;3500000;NO FUGA
F;254785;29;58604;1;1700000;NO FUGA
M;1162851;44;310338;1;1200000;FUGA
M;675681;47;179887;2;3700000;FUGA
M;179314;55;480443;1;3000000;FUGA
M;125583;41;73;1;2400000;NO FUGA
M;514834;30;68106;2;2300000;NO FUGA
M;1470902;39;904469;2;8000000;NO FUGA
M;343220;46;468952;1;1700000;FUGA
M;1080822;37;114640;0;4800000;NO FUGA
M;602284;38;4889;1;3900000;NO FUGA
M;296109;39;60;1;2000000;NO FUGA
M;182358;50;660023;2;900000;FUGA
F;452316;32;352627;2;1200000;NO FUGA
F;534021;51;72583;1;2000000;FUGA
M;561577;47;109745;1;2400000;FUGA
F;47097;37;257640;1;1600000;NO FUGA
F;409274;34;62812;1;2900000;NO FUGA
M;65383;47;711610;3;750000;FUGA
