GENERO;RENTA;EDAD;TOTAL_DEUDA;M_MOROSO;MONTO
M;34046;45;1284994;1;2900000
F;226692;36;1379076;1;5300000
M;648622;32;3662036;2;5200000
F;5589740;31;214855;1;1600000
F;7944;43;465304;0;5700000
M;983523;42;23294;1;5400000
M;3904464;43;3043554;2;2100000
F;406726;36;21809;1;4500000
F;1428396;50;427954;0;8000000
F;918608;52;875049;3;5700000
M;24525;40;1332404;2;4500000
M;3740965;41;153802;1;3200000
M;60099;33;612085;1;2200000
M;227774;39;7547;1;2800000
F;491101;32;370917;0;2000000
M;524328;51;965727;2;800000
F;1635026;50;704694;2;8000000
F;33356;45;249076;3;800000
F;197013;48;537353;1;8000000
M;27839;45;412995;1;4200000
M;315400;26;392031;1;2100000
M;159708;35;296655;1;2800000
M;40161;44;573403;1;1800000
M;2583894;42;255682;1;8000000
F;233664;55;489720;1;6000000
M;4066071;43;255778;1;5200000
F;20412;40;101527;1;7200000
M;38938;27;495716;1;2700000
F;15785;56;592685;0;1300000
M;206412;43;195726;1;2100000
M;18413;40;429114;1;5300000
M;308199;31;289100;1;1800000
M;438997;41;336510;1;1600000
M;157575;24;301172;1;1200000
M;154337;52;670;2;700000
M;74503;47;77183;1;1900000
M;1077191;38;541545;3;6000000
F;96085;55;524696;1;3000000
M;576483;50;7560273;1;2800000
M;154888;40;684759;1;2400000
F;46710;53;819831;3;3400000
M;20246;40;115354;3;1400000
M;4738;40;460226;3;1400000
F;23677;28;172716;1;2200000
M;530340;55;595374;3;3400000
F;628863;47;502889;1;4900000
M;403299;31;139968;1;1900000
F;2170711;35;1316369;0;4900000
F;113187;33;286102;1;1300000
M;20785;43;385005;1;3900000
F;187442;30;678225;1;1800000
F;297920;37;6483;2;4600000
F;20932;50;1607;1;2600000
F;391269;50;262841;1;1200000
M;241012;41;807568;2;8000000
F;89997;62;401995;1;500000
M;65113;45;438721;2;2200000
M;1162225;57;2454338;1;3100000
M;5459808;43;37160;1;2700000
M;23386;53;134642;2;2100000
M;397389;46;505704;1;4100000
F;1229326;45;1991833;1;4800000
M;7890;53;863552;1;1500000
F;181173;41;1513293;2;4900000
F;7735853;29;167291;1;1700000
F;895983;39;1002370;1;1300000
M;215221;50;500678;2;8000000
M;10625;47;139323;1;2500000
M;877113;60;356054;1;8000000
F;368864;40;837554;1;1200000
M;1389117;41;3055240;3;7700000
F;832187;52;421594;3;2100000
F;546567;41;416626;2;3200000
M;244946;47;862008;2;1700000
M;222642;50;22256;2;1400000
M;601520;32;271099;2;2200000
M;124930;45;482005;1;1400000
M;194923;44;929938;1;3100000
M;580919;48;110198;1;3800000
F;4009723;27;518137;0;1500000
F;5594457;34;32704;1;1400000
M;2538793;44;226516;1;1700000
F;2959918;36;1090115;1;2200000
F;1212051;29;4793105;1;2600000
M;1612088;47;488587;1;8000000
F;4691779;39;25723;0;2000000
M;5491203;40;932404;1;4200000
M;195391;47;3951;2;2300000
M;965059;45;57944;1;5900000
F;22201;48;992612;1;2800000
M;2109951;42;17135;3;750000
F;49636;54;19674;1;550000
M;6657589;40;49853;2;2200000
M;703069;44;737343;2;900000
M;1977;54;4437;0;8000000
M;492778;44;399945;1;1000000
F;2153348;52;1529836;3;8000000
M;733473;53;3802368;2;6900000
F;340199;63;401543;1;8000000
F;550482;41;685746;1;1600000
M;920627;32;695460;1;6200000
M;706808;53;280009;1;3700000
M;252443;28;262234;1;4200000
M;470685;28;621988;1;3100000
M;643180;37;118733;1;5900000
F;63129;36;28372;0;2400000
M;437236;49;134158;1;1600000
F;14631;29;20578;1;1800000
M;108777;52;321988;1;2100000
M;42792;52;252881;1;2200000
M;475311;39;798291;2;8000000
M;185630;52;64417;3;1200000
M;3080971;43;359671;2;1900000
M;852617;49;870536;1;3700000
F;46248;59;1319378;0;8000000
M;42506;50;281132;1;1700000
M;415002;43;328525;1;1500000
F;421381;56;478934;1;3200000
M;210315;62;280715;0;1500000
F;70598;38;784;1;800000
M;457943;45;104189;1;3800000
M;1818690;42;254698;1;8000000
M;419379;35;521419;1;1400000
M;536425;52;97270;1;2600000
F;194673;41;508489;1;8000000
F;15734;41;628216;0;5400000
M;3393012;44;2485472;3;5500000
M;16819;48;75686;2;2500000
F;3258;52;398663;1;1400000
M;1387398;44;3021806;2;2900000
F;36501;39;564257;0;1500000
M;144176;42;356718;2;3600000
F;588947;53;617510;1;4400000
M;445178;33;65860;1;1600000
M;145929;41;3542;1;4300000
F;197768;24;128387;1;2000000
F;1179544;43;457149;0;5600000
M;5391701;43;181727;1;1700000
M;269317;47;1650;3;1600000
M;1037779;54;474059;2;4400000
F;5160;57;96561;1;3300000
M;437245;50;353969;1;1200000
M;604117;46;178263;2;3000000
M;2903351;47;1600417;1;8000000
M;651786;43;630668;3;1100000
M;106223;45;10980;1;1200000
M;4746878;42;59489;3;1200000
M;731455;41;1007387;1;8000000
F;163577;51;613527;2;500000
F;467780;61;158810;1;8000000
F;32366;39;294;1;8000000
M;385038;47;250824;1;2500000
F;73115;40;818335;1;1200000
F;241160;53;77246;1;1600000
F;499104;49;5409219;1;8000000
F;613146;50;217067;1;1900000
M;128440;33;172078;1;1600000
M;2441608;42;723818;0;8000000
M;1016790;45;533700;2;3600000
M;333592;29;1360877;1;2600000
M;1150336;50;984224;1;8000000
M;616782;55;1140381;1;500000
M;352567;33;1232355;1;2200000
M;46305;50;125294;1;7000000
M;568939;55;319743;1;2100000
M;32165;40;214042;2;6300000
M;515859;46;161575;2;3000000
F;35640;53;855173;1;8000000
M;174475;40;52283;1;2100000
M;515082;44;75346;1;1800000
M;264080;44;1698172;1;4700000
M;7385;50;1320800;1;2100000
F;189240;30;5845;1;2500000
F;342751;36;807082;1;1500000
M;217599;40;307383;1;3500000
M;469171;45;288451;2;3400000
F;114750;54;578615;0;8000000
M;1206011;48;1148613;1;7500000
M;364274;28;174660;1;1700000
F;250440;51;244045;1;1900000
F;2014551;59;1967911;1;8000000
F;45005;41;106321;0;3500000
F;425557;48;23260;0;2000000
F;74327;42;699113;1;1500000
M;417482;41;3582;1;2000000
F;370218;50;405128;2;1000000
M;262979;53;66606;1;1900000
M;312016;37;51741;1;2500000
F;621931;55;1038567;1;5300000
F;263823;29;36495;1;1700000
F;47665;50;116259;1;1600000
M;3718826;43;158625;1;8000000
M;22526;55;155080;2;6600000
F;3585;48;422741;1;5400000
M;769781;39;1690221;1;1700000
M;345301;45;676636;1;4000000
M;1993460;32;760502;0;8000000
F;23305;36;174430;1;3300000
M;1487137;36;958795;0;8000000
M;478475;44;178391;1;1800000
M;945555;24;1632575;1;4200000
M;2887008;43;822845;1;900000
M;411755;45;549082;3;1200000
F;1640591;32;161624;0;3800000
F;1077214;53;663238;1;4400000
F;369710;41;97414;2;1300000
M;379914;43;59693;1;8000000
M;298733;33;125889;1;3700000
M;578214;28;410969;1;1800000
M;11514;40;33609;1;2300000
M;81900;50;318824;1;5200000
M;438601;45;258225;2;1000000
F;399749;30;284617;2;900000
F;62485;46;1596869;1;1100000
M;48297;45;1043504;1;8000000
M;106316;33;897217;1;4500000
M;721226;53;222007;2;3000000
M;19148;45;277551;1;3500000
M;28515;28;156684;1;1700000
F;34513;46;48790;1;2000000
M;288872;41;316956;1;1700000
F;122983;47;357650;1;1600000
M;2218873;46;1821897;0;8000000
M;133797;30;33220;2;900000
F;583304;32;204173;0;4000000
M;239149;27;1009;2;1300000
M;29673;42;59033;1;8000000
F;32381;43;2967409;1;8000000
M;92199;51;366807;2;2200000
F;1812290;32;356084;1;3200000
M;228884;46;1681341;1;2100000
M;71723;47;344008;1;6100000
F;4318257;39;335578;1;4100000
F;279116;50;2021996;1;700000
F;1710702;46;4224538;0;8000000
F;479055;52;436515;1;2100000
F;138348;51;122938;1;1100000
M;313155;28;123;1;2200000
F;581941;36;116544;0;5800000
M;3976014;115;148;1;1800000
M;321097;48;148264;1;3500000
F;385361;36;53739;0;1600000
M;4274214;40;135863;2;3000000
M;253722;47;1460910;3;5100000
F;760472;42;2115415;2;5600000
M;48599;50;142242;1;1500000
F;6232466;37;418006;1;600000
M;349114;49;862562;1;4600000
F;352445;33;1212;2;2400000
M;81139;37;209772;1;1100000
F;198171;38;141125;1;8000000
F;871;26;68273;0;1700000
M;2801104;49;1109023;1;8000000
M;530544;28;442045;1;2700000
F;216672;44;1292990;3;8000000
F;2190953;53;2196219;1;8000000
M;591027;47;290024;1;5500000
M;32300;51;362189;1;3500000
F;114591;43;213;1;1900000
M;673932;34;689463;1;8000000
M;577982;41;62175;1;2400000
F;91081;63;275884;1;1100000
M;953599;37;870687;1;5300000
F;417221;49;341151;0;1400000
F;740089;31;97350;1;4400000
M;1633940;42;481165;1;8000000
F;7102;44;335924;0;4200000
F;4546648;32;277;1;1800000
F;351631;51;15589;2;1700000
M;171079;38;74566;0;4000000
M;454358;38;375996;0;1500000
M;311217;34;674214;3;1300000
M;68297;35;68235;1;2300000
F;97609;49;221555;1;1900000
M;103820;50;124856;1;3700000
F;24558;47;229900;1;3500000
F;254785;29;58604;1;1700000
M;1162851;44;310338;1;1200000
M;675681;47;179887;2;3700000
M;179314;55;480443;1;3000000
M;125583;41;73;1;2400000
M;514834;30;68106;2;2300000
M;1470902;39;904469;2;8000000
M;343220;46;468952;1;1700000
M;1080822;37;114640;0;4800000
M;602284;38;4889;1;3900000
M;296109;39;60;1;2000000
M;182358;50;660023;2;900000
F;452316;32;352627;2;1200000
F;534021;51;72583;1;2000000
M;561577;47;109745;1;2400000
F;47097;37;257640;1;1600000
F;409274;34;62812;1;2900000
M;65383;47;711610;3;750000
M;10929;45;3122066;1;8000000
M;780119;55;177652;1;3600000
M;293356;44;22393;1;2800000
F;545092;54;125117;1;3800000
M;315589;54;74601;1;1600000
F;466322;59;736284;1;1600000
M;551859;44;1376737;1;1400000
F;8208047;37;468370;0;1300000
M;481105;41;945527;0;2200000
F;253793;49;4406;1;1300000
M;42292;40;270719;1;2400000
M;430043;40;345240;2;1700000
M;251356;52;299995;1;2300000
F;903611;27;1094129;1;4400000
F;3056629;36;101676;1;3100000
F;4804116;44;829255;1;3200000
M;360509;53;1115200;2;2100000
F;442128;28;2014961;1;2400000
M;48660;50;408528;2;2300000
F;135840;45;108348;1;3500000
M;659449;47;1221855;1;1800000
F;59943;49;7333555;0;4000000
M;17602;50;1710842;2;8000000
F;548999;30;4978;1;5500000
F;152380;33;74251;1;900000
F;35604;54;110354;0;8000000
M;337822;29;1224207;1;2600000
M;732940;54;493908;1;3500000
F;877998;54;1129046;1;5500000
F;14565;49;2432;1;8000000
M;24181;51;15166978;2;7100000
M;24885;49;2355103;1;2300000
F;338401;51;135384;0;3800000
M;1283867;40;293217;2;8000000
M;207850;43;744537;0;5600000
M;21495;40;365181;2;1300000
F;3321995;36;1205943;1;1500000
F;1170936;35;341454;1;8000000
M;1594955;42;129275;1;3300000
M;414074;44;216718;1;1800000
M;951209;48;182833;2;500000
M;437275;31;1070806;1;900000
M;78491;54;848687;1;1000000
F;5588459;39;344979;1;2700000
M;55306;52;423757;3;1900000
F;370159;35;12824754;1;4400000
M;605690;54;351269;1;5200000
M;57000;44;241023;3;1400000
F;192875;55;275;1;6500000
F;42202;54;839455;1;8000000
M;3485500;41;567286;1;2000000
M;1017402;47;1024836;1;5200000
M;221041;30;3740;1;2000000
F;364106;55;269333;1;2000000
M;350730;45;99443;1;1900000
M;270899;42;3209949;1;7000000
M;643976;43;482423;2;3700000
F;89381;50;12989;3;1900000
F;155679;48;39962;0;2000000
M;945731;42;233630;1;5800000
F;6114405;31;816;0;2900000
F;730652;41;982873;1;3200000
F;693081;44;17085;1;2800000
M;429894;46;1011355;1;500000
F;38019;43;100961;0;6100000
F;859951;45;821221;2;3100000
M;4150;45;64961;1;3800000
F;1058275;39;974079;0;4000000
M;652605;28;785045;0;3200000
M;646229;54;634854;1;3100000
M;713424;43;483523;1;8000000
M;481288;39;806944;1;1500000
F;455464;54;545738;1;1300000
M;36948;49;619260;1;1700000
M;237944;29;657489;1;2900000
F;1983371;31;71137;1;1900000
M;6420819;43;694168;1;2400000
M;4087490;45;341170;1;3300000
F;2315744;30;84723;1;1900000
M;1091996;37;2415666;1;4500000
F;6258526;36;294198;1;4400000
M;15595;40;153214;1;3500000
F;5511066;36;1421167;1;8000000
F;25975;42;1426389;1;4200000
F;28572;28;85806;3;1200000
F;4538557;27;345805;0;8000000
M;960901;52;0;1;5000000
M;68274;47;1040717;2;3000000
M;872727;38;187740;2;1200000
M;390098;53;23543;1;8000000
F;61058;40;150515;0;2200000
F;190625;48;883540;1;1900000
M;1097637;43;193435;3;1500000
F;239849;42;1018114;2;5600000
M;751995;45;86554;2;4000000
M;14777;40;855407;1;8000000
M;3934515;40;624265;1;3700000
F;500311;50;556302;1;4700000
F;824557;39;1214924;1;3700000
F;1396099;42;762749;2;8000000
M;529158;54;836109;1;5500000
F;7801;45;323247;1;3600000
M;242163;45;571326;2;1200000
M;1006584;37;839025;1;5700000
F;337607;36;471897;1;1500000
M;39687;28;331469;2;5500000
F;2597747;53;2032537;1;8000000
M;471524;30;155635;2;2300000
M;37341;31;774179;0;3500000
F;1290610;33;586451;1;4400000
F;413543;44;723237;1;8000000
M;640034;54;391482;2;4400000
F;953265;40;1017917;2;3400000
F;103184;48;231875;2;750000
F;33348;46;591912;1;8000000
M;1209730;55;93804;3;7200000
M;418763;38;1148983;1;2500000
M;269022;51;296125;1;2200000
M;4111;31;190882;1;2600000
F;57715;48;148195;1;8000000
M;605660;54;537991;1;8000000
F;4403;33;1143508;1;2700000
M;827826;46;200678;0;8000000
M;768598;54;3111376;2;1200000
F;41834;40;1011328;1;8000000
M;387708;50;202634;2;1400000
M;2201554;28;257653;2;8000000
M;469134;29;561133;1;1200000
M;2775;52;70901;1;2500000
M;673656;37;907227;1;8000000
M;699929;51;81817;2;4000000
M;497012;52;4404798;2;2800000
M;495554;60;1321241;1;1200000
M;18690;42;1835;1;2800000
F;72964;44;151872;1;1800000
F;1932584;47;1161714;1;3400000
M;5576;43;396790;2;800000
M;285989;45;387357;1;1100000
M;470376;45;546600;1;1900000
M;2863478;41;550567;3;1100000
M;491636;53;885288;3;3700000
F;5475;46;15032;0;2000000
M;215955;45;60738;3;2000000
M;60884;48;702567;2;6100000
M;50742;41;259210;1;4200000
M;547745;55;1066577;1;3700000
M;878626;46;10266;2;3100000
M;337448;41;985433;1;1800000
M;500438;59;477304;1;1600000
M;193565;32;9;0;2400000
M;481970;53;343229;3;8000000
M;886832;55;74089;3;3400000
M;3291947;40;74102;2;1800000
M;2821667;42;670378;1;8000000
M;5178340;44;451107;1;2000000
M;21793;55;784794;1;500000
F;1685802;38;124367;1;8000000
F;52522;58;6192;1;8000000
M;15383;52;71651;2;4200000
M;225434;46;456199;2;2100000
M;640375;41;1299716;2;3500000
F;437952;37;346724;0;1700000
M;377787;35;172509;0;1900000
M;62859;41;16360;2;4100000
M;4770084;43;3061544;2;4700000
F;406723;47;108787;2;1400000
M;93787;55;543592;3;1500000
F;526855;52;167374;2;1600000
M;387772;43;266744;1;1500000
M;397914;44;803568;2;1100000
F;27005;44;42072;1;8000000
M;185804;51;938917;2;4600000
M;275250;49;559662;2;750000
M;279260;29;212646;1;3800000
M;477916;40;617466;0;8000000
M;59325;45;18539;1;2200000
F;4218551;41;113342;1;2200000
M;893729;44;757833;3;700000
M;483940;37;32119;2;1800000
M;473712;47;344624;1;8000000
F;549778;49;1837763;1;5000000
F;45024;59;208221;1;5000000
F;308035;44;134231;1;1000000
M;345332;32;820006;1;6200000
M;259934;46;38125;1;1900000
M;627607;46;4339574;2;1300000
M;683160;48;130768;2;2500000
M;44605;40;728010;3;6000000
M;277963;30;123835;1;1900000
M;670313;48;305330;1;2100000
M;612074;38;578366;1;3100000
M;1900351;51;26596;2;8000000
F;60289;50;271529;1;2200000
M;657298;47;569;3;3200000
F;386339;32;128734;1;1600000
F;216025;55;74806;1;1500000
F;335700;29;504818;0;2100000
F;2005924;44;26895;2;1300000
F;9980;34;280888;1;3500000
M;362676;49;958164;1;2700000
M;275672;53;214004;2;3700000
M;104089;50;231867;1;2700000
F;97818;39;760599;3;6000000
M;483107;37;135744;0;4800000
F;40163;50;530317;1;1000000
M;1921714;43;1914704;1;2000000
M;53712;55;2737459;2;750000
F;1159600;41;741684;1;5200000
M;444026;39;160060;1;2500000
F;3496879;31;923834;1;3400000
M;632674;32;2148703;3;2100000
F;202115;49;69859;1;1700000
M;93593;54;655205;1;500000
F;773141;43;1522004;1;4100000
F;98010;40;390653;2;2000000
F;6627448;38;285681;1;2300000
M;844010;47;1831373;1;5100000
M;249374;45;147370;1;4000000
M;403206;38;20346;1;2500000
M;3172052;40;1635225;1;2800000
M;307188;52;8698;1;8000000
M;45200;36;474026;0;2000000
M;272709;55;426572;1;1000000
M;439464;43;830616;2;6500000
M;4735362;41;955890;2;8000000
M;18927;45;1626382;1;3500000
F;13266;48;230127;1;1000000
M;1700415;61;93724;1;8000000
M;169496;52;30869;1;1400000
F;592820;51;6803;1;2200000
M;656078;32;864901;2;3300000
M;536031;29;80847;1;2000000
M;47366;40;55491;1;4100000
M;37803;40;871842;1;1500000
F;7925751;44;277867;1;2300000
M;64243;48;2888785;1;1800000
F;5171701;30;382284;1;1500000
M;383562;55;391298;1;1900000
